ref_id,short_ref,reference,onlink,source
131,"MacDonald (1941)","MacDonald, G.A., 1941, Progressive metamorphism of serpentine in the Sierra Nevada of California: American Mineralogist, v. 26, no. 4, p. 276-287.","http://www.minsocam.org/ammin/AM26/AM26_276.pdf",ofr20111188
132,"Malone and others (1962)","Malone, Kevin, Benson, W.T., and Engel, A.L., 1962, Mount Eddy and Shasta View asbestos deposits, Siskiyou County, Calif.: U.S. Bureau of Mines Report of Investigations 5948, 29 p.",,ofr20111188
133,"Matthews (1961)","Matthews, R.A., 1961, Geology of the Butler Estate chromite mine, southwestern Fresno County, California: California Division of Mines and Geology Special Report 71, 19 p., 1 plate.",,ofr20111188
134,"McAllister (1952)","McAllister, J.F., 1952, Rocks and structure of the Quartz Spring area, northern Panamint Range, California: California Division of Mines Special Report 25, 38 p., 3 plates.",,ofr20111188
135,"McNitt (1968)","McNitt, J.R., 1968, Geology of the Lakeport quadrangle, California: California Division of Mines and Geology Map Sheet 10, scale 1:62,500.",,ofr20111188
136,"Meeker and others (2006)","Meeker, G.P., Lowers, H.A., Swayze, G.A., Van Gosen, B.S., Sutley, S.J., Brownfield, I.K., 2006, Mineralogy and morphology of amphiboles observed in soils and rocks in El Dorado Hills, California: U.S. Geological Survey Open-File Report 2006-1362, 47 p. plus 4 appendixes, accessed October 14, 2010, at http://pubs.usgs.gov/of/2006/1362/ .","http://pubs.er.usgs.gov/publication/ofr20061362",ofr20111188
137,"Merriam and Laudermilk (1936)","Merriam, R.H. and Laudermilk, J.D., 1936, Two diopsides from southern California: American Mineralogist, v. 21, p. 715-718.","http://www.minsocam.org/ammin/AM21/AM21_715.pdf",ofr20111188
138,"Merritt (1962)","Merritt, P.C., 1962, California asbestos goes to market: Mining Engineering, v. 14, no. 9, p. 57-60.",,ofr20111188
139,"Morton (1977)","Morton, P.K., 1977, Geology and mineral resources of Imperial County, California: California Division of Mines and Geology County Report 7, 104 p., 1 plate.",,ofr20111188
140,"Mumpton and Thompson (1975)","Mumpton, F.A., and Thompson, C.S., 1975, Mineralogy and origin of the Coalinga asbestos deposit: Clays and Clay Minerals, v. 23, no. 2, p. 131-143.",,ofr20111188
141,"Munro and Reim (1962)","Munro, R.C., and Reim, K.M., 1962, Coalinga--Newcomer to the asbestos industry: Mining Engineering, v. 14, no. 9, p. 60-62.",,ofr20111188
142,"Murdoch and Webb (1966)","Murdoch, Joseph, and Webb, R.W., 1966, Minerals of California, Centennial volume (1866-1966): California Division of Mines and Geology Bulletin 189, 559 p.",,ofr20111188
143,"Norman and Stewart (1951)","Norman, L.A., and Stewart, R.M., 1951, Mines and mineral resources of Inyo County: California Journal of Mines and Geology, v. 47, no. 1, p. 17-223.",,ofr20111188
144,"Oakeshott (1958)","Oakeshott, G.B., 1958, Geology and mineral deposits of San Fernando quadrangle, Los Angeles County, California: California Division of Mines Bulletin 172, 147 p., 5 plates.",,ofr20111188
145,"O'Brien (1947)","O'Brien, J.C., 1947, Mines and mineral resources of Siskiyou County: California Journal of Mines and Geology, v. 43, no. 4, p. 413-462.",,ofr20111188
146,"O'Brien (1948)","O'Brien, J.C., 1948, Current and recent mining activities in the Redding district: California Journal of Mines and Geology, v. 44, no. 4, p. 335-378.",,ofr20111188
147,"O'Brien (1949)","O'Brien, J.C., 1949, Mines and mineral resources of Butte County, California: California Journal of Mines and Geology, v. 45, no. 3, p. 417-454.",,ofr20111188
148,"O'Brien (1952)","O'Brien, J.C., 1952, Mines and mineral resources of Yuba County: California Journal of Mines and Geology, v. 48, no. 2, p. 143-179.",,ofr20111188
149,"O'Brien (1965)","O'Brien, J.C., 1965, Mines and mineral resources of Trinity County, California: California Division of Mines and Geology County Report 4, 125 p., 2 plates.",,ofr20111188
150,"Olson and others (1954)","Olson, J.C., Shawe, D.R., Pray, L.C., and Sharp, W.N., 1954, Rare-earth mineral deposits of the Mountain Pass district, San Bernardino County, California: U.S. Geological Survey Professional Paper 261, 75 p.","http://pubs.er.usgs.gov/publication/pp261",ofr20111188
151,"Pabst (1942)","Pabst, A., 1942, The mineralogy of metamorphosed serpentine at Humphreys, Fresno County, California: American Mineralogist, v. 27, no. 8, p. 570-585.","http://www.minsocam.org/ammin/AM27/AM27_570.pdf",ofr20111188
152,"Page (1967)","Page, N.J., 1967, Serpentinization at Burro Mountain, California: Contributions to Mineralogy and Petrology, v. 14, p. 321-342.",,ofr20111188
153,"Pampeyan (1963)","Pampeyan, E.H., 1963, Geology and mineral deposits of Mount Diablo, Contra Costa County, California: California Division of Mines and Geology Special Report 80, 31 p., 5 plates.",,ofr20111188
154,"Papke (1975)","Papke, K.G., 1975, The Grantham talc mine, Inyo County, California, in Papke, K.G., Schilling, J.H., Barker, J.M., Wilson, J.L., and Walters, R.A., eds., Guidebook--Las Vegas to Death Valley and return: Nevada Bureau of Mines and Geology Report 26, p. 36-39.",,ofr20111188
155,"Pelletier (1962)","Pelletier, W.J., 1962, Mineral species and localities of Marin County, California: San Rafael, Calif., Marin Mineral Society, 15 p.",,ofr20111188
156,"Pemberton (1983)","Pemberton, H.E., 1983, Minerals of California: New York, N.Y., Van Nostrand Reinhold Company, 591 p.",,ofr20111188
157,"Pohl and others (1982)","Pohl, Demetrius, Guillemette, Renald, Shigley, James, and Dunning, Gail, 1982, Ferroaxinite from New Melones Lake, Calaveras County, California, a remarkable new locality: The Mineralogical Record, v. 13, no. 5, 293-302.",,ofr20111188
158,"Rapp and others (1981)","Rapp, J.S., Silva, M.A., Manson, M.W., Bane, D.L., and Kiessling, E.W., 1981, Mines and mineral producers active in California, 1981: California Division of Mines and Geology Special Publication 58, 58 p.",,ofr20111188
159,"Rice (1957)","Rice, S.J., 1957, Asbestos, in Mineral commodities of California--Geologic occurrence, economic development and utilization of the State's mineral resources: California Department of Natural Resources, Division of Mines Bulletin 176, p. 49-58.",,ofr20111188
160,"Rice (1963)","Rice, S.J., 1963, California asbestos industry: California Division of Mines and Geology Mineral Information Service, v. 16, no. 9, p. 1-7.",,ofr20111188
161,"Ross and Nolan (2003)","Ross, M., and Nolan, R.P., 2003, History of asbestos discovery and use and asbestos-related disease in context with the occurrence of asbestos within ophiolite complexes, in Dilek, Y., and Newcomb, S., eds., Ophiolite concept and the evolution of geological thought: Geological Society of America Special Paper 373, p. 447-470.",,ofr20111188
162,"San Francisco Department of Public Health (2007)","San Francisco Department of Public Health, 2007, DPH oversight of Lennar Redevelopment Project at Parcel A (formerly Navy owned Parcel A): San Francisco Department of Public Health, accessed October 14, 2010","http://www.sfdph.org/dph/EH/HuntersPoint/default.asp",ofr20111188
163,"Schlocker (1974)","Schlocker, Julius, 1974, Geology of the San Francisco North quadrangle, California: U.S. Geological Survey Professional Paper 782, 109 p., 3 plates.","http://pubs.er.usgs.gov/publication/pp782",ofr20111188
164,"Schwarcz (1960)","Schwarcz, H.P., 1960, I, Geology of the Winchester-Hemet area, Riverside County, California; II, Geochemical investigations of an arkosic quartzite of the Winchester-Hemet area, California: Pasadena, Calif., California Institute of Technology, Ph.D. dissertation, 427 p.",,ofr20111188
165,"Sharp (1959)","Sharp, W.E., 1959, Minerals of Los Angeles County, California: Los Angeles, Calif., published by the author, 100 p.",,ofr20111188
166,"Short (1933)","Short, A.M., 1933, A chemical and optical study of piedmontite from Shadow Lake, Madera County, California: American Mineralogist, v. 18, no. 11, p. 493-500.","http://www.minsocam.org/ammin/AM18/AM18_493.pdf",ofr20111188
167,"Sims (1961)","Sims, S.J., 1961, Geology of part of the Santa Rosa Mountains, Riverside County, California: Stanford, Calif., Stanford University, Ph.D. dissertation, 112 p., 2 plates.",,ofr20111188
168,"Southern Pacific Company (1987a)","Southern Pacific Company, 1987a, Minerals for industry--Volume II, northern California: California Division of Mines and Geology Special Publication 94, 207 p., 1 plate.",,ofr20111188
169,"Southern Pacific Company (1987b)","Southern Pacific Company, 1987b, Minerals for industry--Volume III, southern California: California Division of Mines and Geology Special Publication 95, 242 p., 4 plates.",,ofr20111188
170,"Troxel and Morton (1962)","Troxel, B.W., and Morton, P.K., 1962, Mines and mineral resources of Kern County, California: California Division of Mines and Geology County Report 1, 370 p., 10 plates.",,ofr20111188
171,"Tucker (1929)","Tucker, W.B., 1929, Kern County: California Division of Mines and Mining Report XXV of the State Mineralogist, v. 25, no. 1, p. 20-81.",,ofr20111188
172,"Tucker and Sampson (1929)","Tucker, W.B., and Sampson, R.J., 1929, Riverside County: California Division of Mines and Mining Report XXV of the State Mineralogist, v. 25, no. 4, p. 468-526.",,ofr20111188
173,"Tucker and Sampson (1943)","Tucker, W.B., and Sampson, R.J., 1943, Mineral resources of San Bernardino County: California Journal of Mines and Geology, v. 39, no. 4, p. 427-549.",,ofr20111188
174,"Tucker and Sampson (1945)","Tucker, W.B., and Sampson, R.J., 1945, Mineral resources of Riverside County: California Journal of Mines and Geology, v. 41, no. 3, p. 121-182.",,ofr20111188
175,"Tucker and others (1949)","Tucker, W.B., Sampson, R.J., and Oakeshott, G.B., 1949, Mineral resources of Kern County: California Journal of Mines and Geology, v. 45, no. 2, p. 203-297.",,ofr20111188
176,"Van Gosen and others (2004c)","Van Gosen, B.S., Lowers, H.A., and Sutley, S.J., 2004c, A USGS study of talc deposits and associated amphibole asbestos within mined deposits of the southern Death Valley region, California: U.S. Geological Survey Open-File Report 2004-1092, 18 p. (Also available at http://pubs.usgs.gov/of/2004/1092/.)","http://pubs.er.usgs.gov/publication/ofr20041092",ofr20111188
177,"Van Gosen and others (2004a)","Van Gosen, B.S., Lowers, H.A., Sutley, S.J., and Gent, C.A., 2004a, Using the geologic setting of talc deposits as an indicator of amphibole asbestos content: Environmental Geology, v. 45, no. 7, p. 920-939.",,ofr20111188
178,"Van Gosen and others (2004b)","Van Gosen, B.S., Lowers, H.A., Sutley, S.J., and Gent, C.A., 2004b, Asbestos-bearing talc deposits, southern Death Valley region, California, in Castor, S.B., Papke, K.G., and Meeuwig, R.O., eds., Betting on industrial minerals--Proceedings of the 39th Forum on the Geology of Industrial Minerals, Reno/Sparks, Nevada, May 18-24, 2003: Nevada Bureau of Mines and Geology Special Publication 33, p. 215-223.",,ofr20111188
179,"Weber (1963)","Weber, F.H., Jr., 1963, Geology and mineral resources of San Diego County, California: California Division of Mines and Geology County Report 3, 309 p., 11 plates.",,ofr20111188
180,"Wicks (1930)","Wicks, F.R., 1930, Crystalline talc--Operations in California of the Pacific Coast Talc Company: Engineering and Mining Journal, v. 130, no. 7, p. 319-321.",,ofr20111188
181,"Wiebelt and Smith (1959)","Wiebelt, F.J., and Smith, M.C., 1959, A reconnaissance of asbestos deposits in the serpentine belt of northern California: U.S. Bureau of Mines Information Circular 7860, 52 p.",,ofr20111188
182,"Wise and Gill (1977)","Wise, W.S., and Gill, R.H., 1977, Minerals of the Benitoite Gem mine: The Mineralogical Record, v. 8, no. 6, p. 442-452.",,ofr20111188
183,"Woodford (1943)","Woodford, A.O., 1943, Crestmore minerals: California Journal of Mines and Geology, v. 39, no. 3, p. 333-365.",,ofr20111188
184,"Woodmansee (1973)","Woodmansee, W.C., 1973, The mineral industry of California, in Minerals yearbook, 1971, volume II, Area reports--Domestic: U.S. Bureau of Mines, p. 119-168.",,ofr20111188
185,"Wright (1950)","Wright, L.A., 1950, Talc, soapstone, and pyrophyllite, in Mineral commodities of California--Geologic occurrence, economic development, and utilization of the state's mineral resources: California Division of Mines Bulletin 156, p. 276-281.",,ofr20111188
186,"Wright (1952)","Wright, L.A., 1952, Geology of the Superior talc area, Death Valley, California: California Division of Mines Special Report 20, 22 p., 1 plate.",,ofr20111188
187,"Wright (1954)","Wright, L.A., 1954, Geology of the Silver Lake talc deposits, San Bernardino County, California: California Division of Mines Special Report 38, 30 p., 3 plates.",,ofr20111188
188,"Wright (1957)","Wright, L.A., 1957, Talc and soapstone, in Wright, L.A., ed., Mineral commodities of California--Geologic occurrence, economic development and utilization of the state's mineral resources: California Division of Mines Bulletin 176, p. 623-634.",,ofr20111188
189,"Wright (1968)","Wright, L.A., 1968, Talc deposits of the southern Death Valley-Kingston Range region, California: California Division of Mines Special Report 95, 79 p., 4 plates.",,ofr20111188
190,"Wright and others (1953)","Wright, L.A., Stewart, R.M., Gay, T.E., Jr., and Hazenbush, G.C., 1953, Mines and mineral deposits of San Bernardino County, California: California Journal of Mines and Geology, v. 49, nos. 1 and 2, p. 49-257.",,ofr20111188
191,"Yoder and Chesterman (1976)","Yoder, H.S., and Chesterman, C.W., 1976, Jadeite of San Benito County, California [Reprinted from Special Report 10-C, September 1951], in California jade--A collection of reprints: California Division of Mines and Geology Special Publication 49, p. 29-34.",,ofr20111188
192,"Allmendinger and Jordan (1989)","Allmendinger, R.W., and Jordan, T.E., 1989, Geologic map of the Newfoundland Mountains, northwestern Utah: U.S. Geological Survey Miscellaneous Field Studies Map MF-2087, scale 1:31,680, 1 sheet.","http://pubs.er.usgs.gov/publication/mf2087",ofr20081095
193,"Anderson and Blacet (1972)","Anderson, C.A., and Blacet, P.M., 1972, Precambrian geology of the northern Bradshaw Mountains, Yavapai County, Arizona: U.S. Geological Survey Bulletin 1336, 82 p., 2 plates.","http://pubs.er.usgs.gov/publication/b1336",ofr20081095
194,"Anonymous (1918)","Anonymous, 1918, The Ray-Kelvin property: Arizona Mining Journal, v. 1, no. 10, [April 1918], p. 20.",,ofr20081095
195,"Anonymous (1989)","Anonymous, 1989, Goldstrike mine: Mining Magazine, v. 161, October 1989, p. 269-272.",,ofr20081095
196,"Atkinson and Einaudi (1978)","Atkinson, W.W., Jr., and Einaudi, M.T., 1978, Skarn formation and mineralization in the contact aureole at Carr Fork, Bingham, Utah: Economic Geology, v. 73, no. 7, p. 1326-1365.","http://econgeol.geoscienceworld.org/cgi/reprint/73/7/1326",ofr20081095
197,"Bateman (1923)","Bateman, A.M., 1923, An Arizona asbestos deposit: Economic Geology, v. 18, no. 7, p. 663-683.","http://econgeol.geoscienceworld.org/cgi/reprint/18/7/663",ofr20081095
198,"Bejnar (1952)","Bejnar, Waldemere, 1952, Geology of the Ruin Basin area, Gila County, Arizona: Tucson, Ariz., University of Arizona, Ph.D. dissertation, 135 p.",,ofr20081095
199,"Bromfield and Shride (1956)","Bromfield, C.S., and Shride, A.F., 1956, Mineral resources of the San Carlos Indian Reservation, Arizona: U.S. Geological Survey Bulletin 1027-N, p. 613-691, 3 plates.","http://pubs.er.usgs.gov/publication/b1027N",ofr20081095
200,"Buranek (1942)","Buranek, A.M., 1942, Initial report on the mineral deposits of Bear Canyon, Davis County, Utah: Salt Lake City, Utah, State of Utah Department of Publicity and Industrial Development Circular No. 1, 4 p.",,ofr20081095
201,"Butler and others (1938)","Butler, B.S., Wilson, E.D., and Rasor, C.A., 1938, Geology and ore deposits of the Tombstone district, Arizona: Arizona Bureau of Mines Bulletin No. 143, 114 p., 26 plates.",,ofr20081095
202,"Castor and Ferdock (2004)","Castor, S.B., and Ferdock, G.C., 2004, Minerals of Nevada: Nevada Bureau of Mines and Geology Special Publication 31, 512 p., 1 plate.",,ofr20081095
203,"Cooper and Silver (1964)","Cooper, J.R., and Silver, L.T., 1964, Geology and ore deposits of the Dragoon quadrangle, Cochise County, Arizona: U.S. Geological Survey Professional Paper 416, 196 p., 13 plates.","http://pubs.er.usgs.gov/publication/pp416",ofr20081095
204,"Crawford and Buranek (1942)","Crawford, A.L., and Buranek, A.M., 1942, Tremolite deposits of the Mineral Range, Millard County, Utah: Salt Lake City, Utah, State of Utah Department of Publicity and Industrial Development Circular No. 2, 7 p.",,ofr20081095
205,"Crawford and Buranek (1943)","Crawford, A.L., and Buranek, A.M., 1943, Certain tungsten deposits of the Mineral Range, Beaver County, Utah: Utah Geological and Mineralogical Survey Circular No. 26, 34 p.",,ofr20081095
206,"Diller (1908)","Diller, J.S., 1908, Asbestos, in Mineral resources of the United States, Calendar year 1907, Part II--Nonmetallic products: U.S. Geological Survey, p. 711-722.",,ofr20081095
207,"Diller (1911)","Diller, J.S., 1911, The types, modes of occurrence, and important deposits of asbestos in the United States, in Contributions to economic geology (short papers and preliminary reports), 1910--Part 1, Metals and nonmetals except fuels: U.S. Geological Survey Bulletin 470, p. 505-524.","http://pubs.er.usgs.gov/publication/b470",ofr20081095
208,"Evans (1974)","Evans, J.G., 1974, Geologic map of the Rodeo Creek NE quadrangle, Eureka County, Nevada: U.S. Geological Survey Geologic Quadrangle Map GQ-1116, scale 1:24,000, 1 sheet.","http://pubs.er.usgs.gov/publication/gq1116",ofr20081095
209,"Faust and Callaghan (1948)","Faust, G.T., and Callaghan, Eugene, 1948, Mineralogy and petrology of the Currant Creek magnesite deposits and associated rocks of Nevada: Geological Society of America Bulletin, v. 59, p. 11-74.","http://gsabulletin.gsapubs.org/content/59/1/11.full.pdf+html",ofr20081095
211,"Galbraith (1947)","Galbraith, F.W., 1947, Minerals of Arizona: Arizona Bureau of Mines Bulletin No. 153, 101 p.",,ofr20081095
212,"Gardner (1936)","Gardner, E.D., 1936, Gold mining and milling in the Black Mountains, western Mohave County, Ariz.: U.S. Bureau of Mines Information Circular 6901, 59 p.",,ofr20081095
213,"Gilbert and Spencer (1992)","Gilbert, W.G., and Spencer, J.E., 1992, Geology of Cemetery Ridge, Clanton Hills, and westernmost Gila Bend Mountains, La Paz and Yuma Counties, Arizona: Arizona Geological Survey Open-File Report 92-4, 1 sheet, scale 1:24,000, includes 16-p. text.",,ofr20081095
214,"Harrer (1964)","Harrer, C.M., 1964, Reconnaissance of iron resources in Arizona: U.S. Bureau of Mines Information Circular 8236, 204 p.",,ofr20081095
215,"Hillebrand (1953)","Hillebrand, J.R., 1953, Geology and ore deposits in the vicinity of Putnam Wash, Pinal County, Arizona: Tucson, Ariz., University of Arizona, M.S. thesis, 94 p.",,ofr20081095
216,"Hose and others (1976)","Hose, R.K., Blake, M.C., Jr., and Smith, R.M., 1976, Geology and mineral resources of White Pine County, Nevada: Nevada Bureau of Mines and Geology Bulletin 85, 105 p., 2 plates.",,ofr20081095
217,"Hunt (1924)","Hunt, R.N, 1924, The ores in the limestones at Bingham, Utah: Transactions of the American Institute of Mining and Metallurgical Engineers, v. 70, p. 856-883.",,ofr20081095
218,"Lanier and others (1978)","Lanier, G., Raab, W.J., Folsom, R.B., and Cone, S., 1978, Alteration of equigranular monzonite, Bingham mining district, Utah: Economic Geology, v. 73, no. 7, p. 1270-1286.","http://econgeol.geoscienceworld.org/cgi/reprint/73/7/1270",ofr20081095
219,"Lausen (1931)","Lausen, Carl, 1931, Geology and ore deposits of the Oatman and Katherine districts, Arizona: Arizona Bureau of Mines Bulletin No. 131, 126 p.",,ofr20081095
220,"Li (1975)","Li, T.M., 1975, Environmental compliance assures future production at Jaquays asbestos operation: Mining Engineering, v. 27, no. 3, p. 40-45.",,ofr20081095
221,"Lindgren (1926)","Lindgren, Waldemar, 1926, Ore deposits of the Jerome and Bradshaw Mountains quadrangles, Arizona: U.S. Geological Survey Bulletin 782, 192 p., 23 plates.","http://pubs.er.usgs.gov/publication/b782",ofr20081095
222,"Melhase (1925)","Melhase, John, 1925, Asbestos deposits of Arizona: Engineering and Mining Journal-Press, v. 120, no. 21, [Nov. 21, 1925], p. 805-810.",,ofr20081095
223,"Milton and others (1974)","Milton, Charles, Ingram, Blanche, and Breger, Irving, 1974, Authigenic magnesioarfvedsonite from the Green River Formation, Duchesne County, Utah: American Mineralogist, v. 59, nos. 7-8, p. 830-836.","http://www.minsocam.org/ammin/AM59/AM59_830.pdf",ofr20081095
224,"Moolick and Durek (1966)","Moolick, R.T., and Durek, J.J., 1966, The Morenci district, in Titley, S.R., and Hicks, C.L., eds., Geology of the porphyry copper deposits--Southwestern North America: Tucson, Ariz., The University of Arizona Press, p. 221-231.",,ofr20081095
225,"Moore (1928)","Moore, R.W., 1928, Mining methods and records at the United Eastern mine: Transactions of the American Institute of Mining and Metallurgical Engineers, v. 76, p. 56-92.",,ofr20081095
226,"Moore (1968)","Moore, R.T., 1968, Mineral deposits of the Fort Apache Indian Reservation, Arizona: Arizona Bureau of Mines Bulletin 177, 84 p., 2 plates.",,ofr20081095
227,"Noble (1910)","Noble, L.F., 1910, Contributions to the geology of the Grand Canyon, Arizona--The geology of the Shinumo area: The American Journal of Science, [Fourth series], v. 29, no. 174, p. 497-528.",,ofr20081095
228,"Noble (1914)","Noble, L.F., 1914, The Shinumo quadrangle, Grand Canyon district, Arizona: U.S. Geological Survey Bulletin 549, 100 p.","http://pubs.er.usgs.gov/publication/b549",ofr20081095
229,"Paddock (1956)","Paddock, R.E., 1956, Geology of the Newfoundland Mountains, Box Elder County, Utah: Salt Lake City, Utah, University of Utah, M.S. thesis, 101 p.",,ofr20081095
230,"Perry and McCarthy (1977)","Perry, L.I., and McCarthy, B.M., 1977, Lead and zinc in Utah, 1976: Utah Geological and Mineral Survey Open-File Report No. 22, 525 p.",,ofr20081095
231,"Peterson (1960)","Peterson, D.W., 1960, Geology of the Haunted Canyon quadrangle, Arizona: U.S. Geological Survey Geologic Quadrangle Map GQ-128, scale 1:24,000.","http://pubs.er.usgs.gov/publication/gq128",ofr20081095
232,"Peterson (1962)","Peterson, N.P., 1962, Geology and ore deposits of the Globe-Miami district, Arizona: U.S. Geological Survey Professional Paper 342, 151 p., 8 plates.","http://pubs.er.usgs.gov/publication/pp342",ofr20081095
233,"Pratt (1905)","Pratt, J.H., 1905, Asbestos, in Mineral resources of the United States--Calendar year 1904: U.S. Geological Survey, p. 1125-1142.",,ofr20081095
234,"Ransome (1903)","Ransome, F.L., 1903, Geology of the Globe copper district, Arizona: U.S. Geological Survey Professional Paper 12, 168 p.","http://pubs.er.usgs.gov/publication/pp12",ofr20081095
235,"Ransome (1923)","Ransome, F.L., 1923, Geology of the Oatman gold district, Arizona--A preliminary report: U.S. Geological Survey Bulletin 743, 58 p.","http://pubs.er.usgs.gov/publication/b743",ofr20081095
236,"Reeves and Kral (1955)","Reeves, R.G., and Kral, V.E., 1955, Iron ore deposits of Nevada--Part A. Geology and iron ore deposits of the Buena Vista Hills, Churchill and Pershing Counties, Nevada: Nevada Bureau of Mines Bulletin 53, 37 p., 8 plates.",,ofr20081095
237,"Reid (1978)","Reid, J.E., 1978, Skarn alteration of the commercial limestone, Carr Fork area, Bingham, Utah: Economic Geology, v. 73, no. 7, p. 1315-1325.","http://econgeol.geoscienceworld.org/cgi/reprint/73/7/1315",ofr20081095
238,"Sampson (1923)","Sampson, Edward, 1923, Asbestos, in Mineral resources of the United States, 1920--Part II, nonmetals: U.S. Geological Survey, p. 309-322.",,ofr20081095
239,"Smith and Sharon (1994)","Smith, M.R., and Sharon, R.P., 1994, Engineering geology of Barrick Goldstrike Mines' Betze pit: Mining Engineering, v. 46, no. 1, p. 29-33.",,ofr20081095
240,"Stewart (1955)","Stewart, L.A., 1955, Chrysotile-asbestos deposits of Arizona: U.S. Bureau of Mines Information Circular 7706, 124 p.",,ofr20081095
241,"Stewart (1956)","Stewart, L.A., 1956, Chrysotile-asbestos deposits of Arizona (Supplement to Information Circular 7706): U.S. Bureau of Mines Information Circular 7745, 41 p.",,ofr20081095
242,"Stewart (1961)","Stewart, L.A., 1961, Mining methods and costs, Regal asbestos mine, Jaquays Mining Corp., Gila County, Ariz.: U.S. Bureau of Mines Information Circular 7986, 53 p.",,ofr20081095
243,"Stewart and Haury (1947)","Stewart, L.A., and Haury, P.S., 1947, Arizona asbestos deposits, Gila County, Ariz.: U.S. Bureau of Mines Report of Investigations no. 4100, 28 p.",,ofr20081095
244,"U.S. Bureau of Mines (1945a)","U.S. Bureau of Mines, 1945a, Asbestos mines, Gila County, Ariz.: U.S. Bureau of Mines War Minerals Report 370, 18 p.",,ofr20081095
245,"U.S. Bureau of Mines (1945b)","U.S. Bureau of Mines, 1945b, Enders' White Tail No. 2, Gila County, Ariz.: U.S. Bureau of Mines War Minerals Report 372, 10 p.",,ofr20081095
246,"U.S. Bureau of Mines (1945c)","U.S. Bureau of Mines, 1945c, Kyle's Sloan Creek Group, Gila County, Ariz.: U.S. Bureau of Mines War Minerals Report 373, 6 p.",,ofr20081095
247,"U.S. Bureau of Mines (1945d)","U.S. Bureau of Mines, 1945d, Phillips Grandview No. 4, Gila County, Ariz.: U.S. Bureau of Mines War Minerals Report 368, 16 p.",,ofr20081095
248,"U.S. Bureau of Mines (1945e)","U.S. Bureau of Mines, 1945e, Reynolds Falls Group, Gila County, Ariz.: U.S. Bureau of Mines War Minerals Report 371, 12 p.",,ofr20081095
249,"U.S. Geological Survey (2007)","U.S. Geological Survey, 2007, Mineral Resources Data System (MRDS)","http://tin.er.usgs.gov/mrds/",ofr20081095
250,"Vitaliano (1951)","Vitaliano, C.J., 1951, Magnesium-mineral resources of the Currant Creek district, Nevada: U.S. Geological Survey Bulletin 978-A, 25 p., 8 plates.","http://pubs.er.usgs.gov/publication/b978A",ofr20081095
251,"Wilson (1928)","Wilson, E.D., 1928, Asbestos deposits of Arizona: Arizona Bureau of Mines Bulletin No. 126, 100 p.",,ofr20081095
252,"Wilson (1933)","Wilson, E.D., 1933, Geology and mineral deposits of southern Yuma County, Arizona: Arizona Bureau of Mines Bulletin No. 134, 234 p.",,ofr20081095
253,"Wilson (1951)","Wilson, E.D., 1951, Arizona zinc and lead deposits: Arizona Bureau of Mines Bulletin No. 158, 115 p.",,ofr20081095
254,"Adams (1870)","Adams, J.H., 1870, Notice of asbestus and corundum with other minerals at Pelham, Mass.: American Journal of Science and Arts, v. 49, no. 146, p. 271-272.",,ofr20051189
255,"Allen (1963)","Allen, R.M., Jr., 1963, Geology and mineral resources of Greene and Madison Counties: Virginia Division of Mineral Resources Bulletin 78, 102 p., 1 plate, scale 1:62,500.",,ofr20051189
256,"Allen (1967)","Allen, R.M., Jr., 1967, Geology and mineral resources of Page County: Virginia Division of Mineral Resources Bulletin 81, 78 p., 1 plate, scale 1:62,500.",,ofr20051189
257,"Anonymous (1944)","Anonymous, 1944, Mad River talc mine, Washington County, Vt.: U.S. Bureau of Mines War Minerals Report 222, 22 p.",,ofr20051189
258,"Anonymous (1970)","Anonymous, 1970, World asbestos industry--United States: Industrial Minerals, no. 28 (January 1970), p. 22-23.",,ofr20051189
259,"Bain (1942)","Bain, G.W., 1942, Vermont talc and asbestos deposits, in Newhouse, W.H., ed., Ore deposits as related to structural features: Princeton, N.J., Princeton University Press, p. 255-258.",,ofr20051189
260,"Bangs (1946)","Bangs, Herbert, 1946, Asbestos in Maryland: Baltimore, Md., Natural History Society of Maryland, Maryland Journal of Natural History, v. 16, no. 4, p. 67-73.",,ofr20051189
261,"Baum (1962)","Baum, J.L., 1962, The Franklin ore body, in Northern Field Excursion Guidebook, International Mineralogical Association, Third General Congress, Washington, D.C.: International Mineralogical Association, p. 19-21.",,ofr20051189
262,"Beard and others (2001)","Beard, M.E., Crankshaw, O.S., Ennis, J.T., and Moore, C.E., 2001, Analysis of crayons for asbestos and other fibrous materials, and recommendations for improved analytical definitions--Executive summary: Research Triangle Park, N.C., Research Triangle Institute, Center for Environmental Measurements and Quality Assurance, Earth and Mineral Sciences Department, [informal report], 8 p.","http://www.nycosh.org/workplace_hazards/ExSummary-Asbestos.pdf",ofr20051189
263,"Behm (1954)","Behm, J.J., 1954, The petrology of the serpentinite of Richmond County (Staten Island), New York: Proceedings of the Staten Island Institute of Arts and Sciences, v. 16, p. 1-39.",,ofr20051189
264,"Bernstein (1980)","Bernstein, L.R., 1980, Minerals of the Washington, D.C. area: Department of Natural Resources, Maryland Geological Survey, Educational Series No. 5, 148 p., 3 plates.",,ofr20051189
265,"Blake (1982)","Blake, R.L., 1982, Amphiboles in Soapstone Ridge, Ga.: U.S. Bureau of Mines Report of Investigations 8627, 17 p.",,ofr20051189
